name,longitude,latitude,minElevation,maxCloudCover,priority,exposure,capture_mode,default_capture_mode,start_times,end_times
barentssea4,72.0984,42.5671,50,15,2430,45,wide,0,"[datetime.datetime(2024, 11, 24, 7, 50, 42, tzinfo=datetime.timezone.utc), datetime.datetime(2024, 11, 24, 9, 23, 48, tzinfo=datetime.timezone.utc), datetime.datetime(2024, 11, 24, 17, 5, 24, tzinfo=datetime.timezone.utc), datetime.datetime(2024, 11, 25, 8, 53, 40, tzinfo=datetime.timezone.utc), datetime.datetime(2024, 11, 25, 18, 9, 25, tzinfo=datetime.timezone.utc), '', '']","[datetime.datetime(2024, 11, 24, 7, 50, 4, tzinfo=datetime.timezone.utc), datetime.datetime(2024, 11, 24, 9, 23, 21, tzinfo=datetime.timezone.utc), datetime.datetime(2024, 11, 24, 17, 6, 5, tzinfo=datetime.timezone.utc), datetime.datetime(2024, 11, 25, 8, 54, 23, tzinfo=datetime.timezone.utc), datetime.datetime(2024, 11, 25, 18, 9, 16, tzinfo=datetime.timezone.utc), '', '']"
barentssea5,72.4790,47.3263,50,15,2425,45,wide,0,"[datetime.datetime(2024, 11, 24, 7, 49, 55, tzinfo=datetime.timezone.utc), datetime.datetime(2024, 11, 24, 17, 5, 13, tzinfo=datetime.timezone.utc), datetime.datetime(2024, 11, 25, 8, 53, 33, tzinfo=datetime.timezone.utc), datetime.datetime(2024, 11, 25, 16, 35, 46, tzinfo=datetime.timezone.utc), '', '', '']","[datetime.datetime(2024, 11, 24, 7, 50, 27, tzinfo=datetime.timezone.utc), datetime.datetime(2024, 11, 24, 17, 6, 6, tzinfo=datetime.timezone.utc), datetime.datetime(2024, 11, 25, 8, 53, 55, tzinfo=datetime.timezone.utc), datetime.datetime(2024, 11, 25, 16, 36, 19, tzinfo=datetime.timezone.utc), '', '', '']"
barentssea3,69.7891,38.6458,50,15,2432,45,wide,0,"[datetime.datetime(2024, 11, 25, 8, 54, 20, tzinfo=datetime.timezone.utc), datetime.datetime(2024, 11, 25, 18, 8, 28, tzinfo=datetime.timezone.utc), '', '', '', '', '']","[datetime.datetime(2024, 11, 25, 8, 55, 4, tzinfo=datetime.timezone.utc), datetime.datetime(2024, 11, 25, 18, 9, 15, tzinfo=datetime.timezone.utc), '', '', '', '', '']"
norwegiansea,65.4120,8.9138,50,15,2421,45,wide,0,"[datetime.datetime(2024, 11, 24, 20, 11, 14, tzinfo=datetime.timezone.utc), datetime.datetime(2024, 11, 25, 10, 29, 35, tzinfo=datetime.timezone.utc), datetime.datetime(2024, 11, 25, 19, 42, 2, tzinfo=datetime.timezone.utc), '', '', '', '']","[datetime.datetime(2024, 11, 24, 20, 12, 6, tzinfo=datetime.timezone.utc), datetime.datetime(2024, 11, 25, 10, 30, 23, tzinfo=datetime.timezone.utc), datetime.datetime(2024, 11, 25, 19, 42, 6, tzinfo=datetime.timezone.utc), '', '', '', '']"
ijsselmeer,52.7324,5.5132,50,15,2414,45,wide,0,"[datetime.datetime(2024, 11, 25, 21, 12, 22, tzinfo=datetime.timezone.utc), '', '', '', '', '', '']","[datetime.datetime(2024, 11, 25, 21, 11, 56, tzinfo=datetime.timezone.utc), '', '', '', '', '', '']"
englishatlantic,59.9411,-3.7930,50,15,2411,45,wide,0,"[datetime.datetime(2024, 11, 24, 11, 1, tzinfo=datetime.timezone.utc), datetime.datetime(2024, 11, 25, 10, 32, 8, tzinfo=datetime.timezone.utc), datetime.datetime(2024, 11, 25, 21, 13, 52, tzinfo=datetime.timezone.utc), '', '', '', '']","[datetime.datetime(2024, 11, 24, 11, 1, 51, tzinfo=datetime.timezone.utc), datetime.datetime(2024, 11, 25, 10, 31, 25, tzinfo=datetime.timezone.utc), datetime.datetime(2024, 11, 25, 21, 14, 44, tzinfo=datetime.timezone.utc), '', '', '', '']"
falklandsatlantic,-54.3096,-60.7053,50,15,2410,45,wide,0,"[datetime.datetime(2024, 11, 24, 13, 5, 15, tzinfo=datetime.timezone.utc), '', '', '', '', '', '']","[datetime.datetime(2024, 11, 24, 13, 6, 4, tzinfo=datetime.timezone.utc), '', '', '', '', '', '']"
sanjorgegulf,-46.0317,-65.5414,50,15,2400,45,wide,0,"[datetime.datetime(2024, 11, 26, 3, 2, 11, tzinfo=datetime.timezone.utc), '', '', '', '', '', '']","[datetime.datetime(2024, 11, 26, 3, 2, 7, tzinfo=datetime.timezone.utc), '', '', '', '', '', '']"
atlantic1,46.8348,-48.5813,50,10,2390,40,wide,0,"[datetime.datetime(2024, 11, 25, 0, 48, 24, tzinfo=datetime.timezone.utc), datetime.datetime(2024, 11, 25, 13, 42, 38, tzinfo=datetime.timezone.utc), datetime.datetime(2024, 11, 26, 0, 18, 52, tzinfo=datetime.timezone.utc), '', '', '', '']","[datetime.datetime(2024, 11, 25, 0, 48, 44, tzinfo=datetime.timezone.utc), datetime.datetime(2024, 11, 25, 13, 43, 24, tzinfo=datetime.timezone.utc), datetime.datetime(2024, 11, 26, 0, 19, 2, tzinfo=datetime.timezone.utc), '', '', '', '']"
northsea,52.9864,2.7583,50,10,2380,40,wide,0,"[datetime.datetime(2024, 11, 25, 10, 33, 2, tzinfo=datetime.timezone.utc), datetime.datetime(2024, 11, 25, 21, 11, 59, tzinfo=datetime.timezone.utc), '', '', '', '', '']","[datetime.datetime(2024, 11, 25, 10, 33, 33, tzinfo=datetime.timezone.utc), datetime.datetime(2024, 11, 25, 21, 12, 38, tzinfo=datetime.timezone.utc), '', '', '', '', '']"
