name,longitude,latitude,minElevation,maxCloudCover,priority,exposure,capture_mode,default_capture_mode,start_times,end_times
barentssea4,72.0984,42.5671,50,15,2430,45,wide,0,"[datetime.datetime(2025, 1, 20, 17, 24, 12, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 21, 9, 11, 14, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 21, 16, 52, 44, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 22, 8, 39, 11, tzinfo=datetime.timezone.utc), '', '']","[datetime.datetime(2025, 1, 20, 17, 25, 3, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 21, 9, 11, 35, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 21, 16, 52, 57, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 22, 8, 40, tzinfo=datetime.timezone.utc), '', '']"
barentssea5,72.4790,47.3263,50,15,2425,45,wide,0,"[datetime.datetime(2025, 1, 20, 17, 24, 11, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 21, 7, 38, 13, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 21, 9, 11, 25, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 21, 16, 52, 21, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 22, 8, 38, 58, tzinfo=datetime.timezone.utc), '']","[datetime.datetime(2025, 1, 20, 17, 24, 57, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 21, 7, 37, 56, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 21, 9, 10, 48, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 21, 16, 53, 7, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 22, 8, 39, 41, tzinfo=datetime.timezone.utc), '']"
barentssea3,69.7891,38.6458,50,15,2432,45,wide,0,"[datetime.datetime(2025, 1, 20, 17, 24, 12, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 21, 9, 11, 56, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 21, 18, 25, 16, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 22, 8, 39, 50, tzinfo=datetime.timezone.utc), '', '']","[datetime.datetime(2025, 1, 20, 17, 24, 21, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 21, 9, 12, 15, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 21, 18, 25, 38, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 22, 8, 40, 41, tzinfo=datetime.timezone.utc), '', '']"
norwegiansea,65.4120,8.9138,50,15,2421,45,wide,0,"[datetime.datetime(2025, 1, 20, 20, 29, 59, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 21, 10, 47, 3, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 21, 19, 58, 7, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 22, 10, 15, tzinfo=datetime.timezone.utc), '', '']","[datetime.datetime(2025, 1, 20, 20, 30, 35, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 21, 10, 47, 25, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 21, 19, 58, 46, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 22, 10, 15, 47, tzinfo=datetime.timezone.utc), '', '']"
ijsselmeer,52.7324,5.5132,50,15,2414,45,wide,0,"[datetime.datetime(2025, 1, 22, 10, 18, 18, tzinfo=datetime.timezone.utc), '', '', '', '', '']","[datetime.datetime(2025, 1, 22, 10, 19, 2, tzinfo=datetime.timezone.utc), '', '', '', '', '']"
englishatlantic,59.9411,-3.7930,50,15,2411,45,wide,0,"[datetime.datetime(2025, 1, 21, 10, 48, 44, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 21, 21, 30, 14, tzinfo=datetime.timezone.utc), '', '', '', '']","[datetime.datetime(2025, 1, 21, 10, 49, 23, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 21, 21, 30, 53, tzinfo=datetime.timezone.utc), '', '', '', '']"
falklandsatlantic,-54.3096,-60.7053,50,15,2410,45,wide,0,"[datetime.datetime(2025, 1, 21, 12, 53, 24, tzinfo=datetime.timezone.utc), '', '', '', '', '']","[datetime.datetime(2025, 1, 21, 12, 52, 58, tzinfo=datetime.timezone.utc), '', '', '', '', '']"
sanjorgegulf,-46.0317,-65.5414,50,15,2400,45,wide,0,"['', '', '', '', '', '']","['', '', '', '', '', '']"
atlantic1,46.8348,-48.5813,50,10,2390,40,wide,0,"[datetime.datetime(2025, 1, 22, 0, 34, 30, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 22, 13, 27, 55, tzinfo=datetime.timezone.utc), '', '', '', '']","[datetime.datetime(2025, 1, 22, 0, 35, 18, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 22, 13, 28, 22, tzinfo=datetime.timezone.utc), '', '', '', '']"
northsea,52.9864,2.7583,50,10,2380,40,wide,0,"[datetime.datetime(2025, 1, 22, 10, 18, 19, tzinfo=datetime.timezone.utc), '', '', '', '', '']","[datetime.datetime(2025, 1, 22, 10, 19, 7, tzinfo=datetime.timezone.utc), '', '', '', '', '']"
