Target,Capture_time,Time_elapsed,Discretization,Cap_per_time,Weight,ReferenceTime
vanmijenfjorden,233,4396.227635792,30,4,2380,2024-11-24T09:00:00.0
palgrunden,1339,4396.227635792,30,4,2300,2024-11-24T09:00:00.0
northsea,3067,4396.227635792,30,4,2421,2024-11-24T09:00:00.0
frohavet,4163,4396.227635792,30,4,2700,2024-11-24T09:00:00.0
irbe,2876,4396.227635792,30,4,2270,2024-11-24T09:00:00.0
laplata,2042,4396.227635792,30,4,2230,2024-11-24T09:00:00.0
kemigawa,387,4396.227635792,30,4,2180,2024-11-24T09:00:00.0
barentssea1,3054,4396.227635792,30,4,2460,2024-11-24T09:00:00.0
svalbardnyaalesund,3240,4396.227635792,30,4,2400,2024-11-24T09:00:00.0
vardoe,1158,4396.227635792,30,4,2360,2024-11-24T09:00:00.0
hboi,3644,4396.227635792,30,4,2150,2024-11-24T09:00:00.0

ingdalen,358,9193.896727375,20,2,2690,2024-11-24T09:00:00.0
peteriisland,1030,9193.896727375,20,2,2210,2024-11-24T09:00:00.0
vancouver,3692,9193.896727375,20,2,2570,2024-11-24T09:00:00.0
atlantic1,2846,9193.896727375,20,2,2414,2024-11-24T09:00:00.0
vardoe,5968,9193.896727375,20,2,2250,2024-11-24T09:00:00.0
griegclio,1781,9193.896727375,20,2,2610,2024-11-24T09:00:00.0
griegloppa,75,9193.896727375,20,2,2490,2024-11-24T09:00:00.0
barentssea2,69,9193.896727375,20,2,2450,2024-11-24T09:00:00.0
frohavetnorth,2016,9193.896727375,20,2,2650,2024-11-24T09:00:00.0
blubberbay,6013,9193.896727375,20,2,2560,2024-11-24T09:00:00.0
barentssea5,4301,9193.896727375,20,2,2435,2024-11-24T09:00:00.0
trondheim,2013,9193.896727375,20,2,2720,2024-11-24T09:00:00.0
caspiansea1,5947,9193.896727375,20,2,2410,2024-11-24T09:00:00.0
mjosa,6242,9193.896727375,20,2,2510,2024-11-24T09:00:00.0
